Time (ms),Alfa
0,37.974063873291
33,37.8075866699219
67,37.6494216918945
100,37.5057945251465
133,37.3816680908203
166,37.2821464538574
200,37.2111625671387
233,37.1677665710449
266,37.1448020935059
300,37.132984161377
333,37.1250152587891
366,37.1165809631348
400,37.106071472168
433,37.0941047668457
466,37.0821113586426
499,37.0708160400391
533,37.0604019165039
566,37.0515975952148
599,37.0453605651855
633,37.0421447753906
666,37.041877746582
699,37.0443534851074
732,37.0496368408203
766,37.0581092834473
799,37.0701637268066
832,37.0855865478516
866,37.1032257080078
899,37.1219100952148
932,37.1416435241699
966,37.1627883911133
999,37.1841354370117
1032,37.2022895812988
1065,37.2114601135254
1099,37.2026176452637
1132,37.1628646850586
1165,37.0765037536621
1199,36.9288368225098
1232,36.7141723632813
1265,36.4444465637207
1298,36.1475524902344
1332,35.8535232543945
1365,35.5825386047363
1398,35.3423957824707
1432,35.1311378479004
1465,34.9421043395996
1498,34.7688598632813
1532,34.6064529418945
1565,34.4506797790527
1598,34.2988662719727
1631,34.1518287658691
1665,34.0146865844727
1698,33.8946914672852
1731,33.7981605529785
1765,33.7281036376953
1798,33.6825218200684
1831,33.6550140380859
1865,33.6379241943359
1898,33.6254653930664
1931,33.6157684326172
1964,33.6114196777344
1998,33.6161575317383
2031,33.629825592041
2064,33.6476020812988
2098,33.6634788513184
2131,33.6719856262207
2164,33.6681137084961
2197,33.649845123291
2231,33.6209182739258
2264,33.5892448425293
2297,33.5631141662598
2331,33.5471687316895
2364,33.5399703979492
2397,33.5374946594238
2431,33.5382423400879
2464,33.542537689209
2497,33.5494842529297
2530,33.5580749511719
2564,33.5684700012207
2597,33.5778503417969
2630,33.5738372802734
2664,33.5331001281738
2697,33.4271583557129
2730,33.2342224121094
2763,32.9564514160156
2797,32.62841796875
2830,32.299674987793
2863,32.0066680908203
2897,31.761209487915
2930,31.5579872131348
2963,31.3873996734619
2997,31.2422580718994
3030,31.1175594329834
3063,31.0097351074219
3096,30.9170703887939
3130,30.839298248291
3163,30.7769527435303
3196,30.7298126220703
3230,30.6950263977051
3263,30.6682910919189
3296,30.6481342315674
3329,30.6366691589355
3363,30.6354885101318
3396,30.6428203582764
3429,30.6546745300293
3463,30.6673069000244
3496,30.6783847808838
3529,30.6868133544922
3563,30.6923675537109
3596,30.69557762146
3629,30.6976089477539
3662,30.6999378204346
3696,30.70387840271
3729,30.7098560333252
3762,30.7163333892822
3796,30.719274520874
3829,30.7142372131348
3862,30.6997909545898
3895,30.6782073974609
3929,30.6543674468994
3962,30.6344566345215
3995,30.6235733032227
4029,30.6237277984619
4062,30.6337871551514
4095,30.6492919921875
4129,30.6608772277832
4162,30.6513652801514
4195,30.5956554412842
4228,30.4709148406982
4262,30.2739524841309
4295,30.0268745422363
4328,29.7637825012207
